Date,Name,adj
2014/6/1,さば,-3
2014/7/1,さば,-3
2014/8/1,さば,-3
2014/9/1,さば,-3
2014/10/1,さば,-3
2014/11/1,さば,-3
2014/12/1,さば,-3
2015/1/1,さば,-3
2015/2/1,さば,-3
2015/3/1,さば,-3
1989/4/1,さんま,-3
1989/5/1,さんま,-3
1989/6/1,さんま,-3
1989/7/1,さんま,-3
1989/8/1,さんま,-3
1989/9/1,さんま,-3
1989/10/1,さんま,-3
1989/11/1,さんま,-3
1989/12/1,さんま,-3
1990/1/1,さんま,-3
1990/2/1,さんま,-3
1990/3/1,さんま,-3
1997/4/1,さんま,-2
1997/5/1,さんま,-2
1997/6/1,さんま,-2
1997/7/1,さんま,-2
1997/8/1,さんま,-2
1997/9/1,さんま,-2
1997/10/1,さんま,-2
1997/11/1,さんま,-2
1997/12/1,さんま,-2
1998/1/1,さんま,-2
1998/2/1,さんま,-2
1998/3/1,さんま,-2
2014/4/1,さんま,-3
2014/5/1,さんま,-3
2014/6/1,さんま,-3
2014/7/1,さんま,-3
2014/8/1,さんま,-3
2014/9/1,さんま,-3
2014/10/1,さんま,-3
2014/11/1,さんま,-3
2014/12/1,さんま,-3
2015/1/1,さんま,-3
2015/2/1,さんま,-3
2015/3/1,さんま,-3
1989/4/1,たい,-3
1989/5/1,たい,-3
1989/6/1,たい,-3
1989/7/1,たい,-3
1989/8/1,たい,-3
1989/9/1,たい,-3
1989/10/1,たい,-3
1989/11/1,たい,-3
1989/12/1,たい,-3
1990/1/1,たい,-3
1990/2/1,たい,-3
1990/3/1,たい,-3
1997/4/1,たい,-2
1997/5/1,たい,-2
1997/6/1,たい,-2
1997/7/1,たい,-2
1997/8/1,たい,-2
1997/9/1,たい,-2
1997/10/1,たい,-2
1997/11/1,たい,-2
1997/12/1,たい,-2
1998/1/1,たい,-2
1998/2/1,たい,-2
1998/3/1,たい,-2
2014/4/1,たい,-3
2014/5/1,たい,-3
2014/6/1,たい,-3
2014/7/1,たい,-3
2014/8/1,たい,-3
2014/9/1,たい,-3
2014/10/1,たい,-3
2014/11/1,たい,-3
2014/12/1,たい,-3
2015/1/1,たい,-3
2015/2/1,たい,-3
2015/3/1,たい,-3
1989/4/1,ぶり,-3
1989/5/1,ぶり,-3
1989/6/1,ぶり,-3
1989/7/1,ぶり,-3
1989/8/1,ぶり,-3
1989/9/1,ぶり,-3
1989/10/1,ぶり,-3
1989/11/1,ぶり,-3
1989/12/1,ぶり,-3
1990/1/1,ぶり,-3
1990/2/1,ぶり,-3
1990/3/1,ぶり,-3
1997/4/1,ぶり,-2
1997/5/1,ぶり,-2
1997/6/1,ぶり,-2
1997/7/1,ぶり,-2
1997/8/1,ぶり,-2
1997/9/1,ぶり,-2
1997/10/1,ぶり,-2
1997/11/1,ぶり,-2
1997/12/1,ぶり,-2
1998/1/1,ぶり,-2
1998/2/1,ぶり,-2
1998/3/1,ぶり,-2
2014/4/1,ぶり,-3
2014/5/1,ぶり,-3
2014/6/1,ぶり,-3
2014/7/1,ぶり,-3
2014/8/1,ぶり,-3
2014/9/1,ぶり,-3
2014/10/1,ぶり,-3
2014/11/1,ぶり,-3
2014/12/1,ぶり,-3
2015/1/1,ぶり,-3
2015/2/1,ぶり,-3
2015/3/1,ぶり,-3
1989/4/1,いか,-3
1989/5/1,いか,-3
1989/6/1,いか,-3
1989/7/1,いか,-3
1989/8/1,いか,-3
1989/9/1,いか,-3
1989/10/1,いか,-3
1989/11/1,いか,-3
1989/12/1,いか,-3
1990/1/1,いか,-3
1990/2/1,いか,-3
1990/3/1,いか,-3
1997/4/1,いか,-2
1997/5/1,いか,-2
1997/6/1,いか,-2
1997/7/1,いか,-2
1997/8/1,いか,-2
1997/9/1,いか,-2
1997/10/1,いか,-2
1997/11/1,いか,-2
1997/12/1,いか,-2
1998/1/1,いか,-2
1998/2/1,いか,-2
1998/3/1,いか,-2
2014/4/1,いか,-3
2014/5/1,いか,-3
2014/6/1,いか,-3
2014/7/1,いか,-3
2014/8/1,いか,-3
2014/9/1,いか,-3
2014/10/1,いか,-3
2014/11/1,いか,-3
2014/12/1,いか,-3
2015/1/1,いか,-3
2015/2/1,いか,-3
2015/3/1,いか,-3
1989/4/1,たこ,-3
1989/5/1,たこ,-3
1989/6/1,たこ,-3
1989/7/1,たこ,-3
1989/8/1,たこ,-3
1989/9/1,たこ,-3
1989/10/1,たこ,-3
1989/11/1,たこ,-3
1989/12/1,たこ,-3
1990/1/1,たこ,-3
1990/2/1,たこ,-3
1990/3/1,たこ,-3
1997/4/1,たこ,-2
1997/5/1,たこ,-2
1997/6/1,たこ,-2
1997/7/1,たこ,-2
1997/8/1,たこ,-2
1997/9/1,たこ,-2
1997/10/1,たこ,-2
1997/11/1,たこ,-2
1997/12/1,たこ,-2
1998/1/1,たこ,-2
1998/2/1,たこ,-2
1998/3/1,たこ,-2
2014/4/1,たこ,-3
2014/5/1,たこ,-3
2014/6/1,たこ,-3
2014/7/1,たこ,-3
2014/8/1,たこ,-3
2014/9/1,たこ,-3
2014/10/1,たこ,-3
2014/11/1,たこ,-3
2014/12/1,たこ,-3
2015/1/1,たこ,-3
2015/2/1,たこ,-3
2015/3/1,たこ,-3
1989/4/1,えび,-3
1989/5/1,えび,-3
1989/6/1,えび,-3
1989/7/1,えび,-3
1989/8/1,えび,-3
1989/9/1,えび,-3
1989/10/1,えび,-3
1989/11/1,えび,-3
1989/12/1,えび,-3
1990/1/1,えび,-3
1990/2/1,えび,-3
1990/3/1,えび,-3
1997/4/1,えび,-2
1997/5/1,えび,-2
1997/6/1,えび,-2
1997/7/1,えび,-2
1997/8/1,えび,-2
1997/9/1,えび,-2
1997/10/1,えび,-2
1997/11/1,えび,-2
1997/12/1,えび,-2
1998/1/1,えび,-2
1998/2/1,えび,-2
1998/3/1,えび,-2
